stkcd,roe,profitmargin,turnover,leverage,year,Company
000625,0.06148952387392343,0.03888674371916748,0.6993754365042213,2.260940729014268,2020,Changan
000625,0.0645151381868539,0.03427956856670942,0.7765013818222192,2.423728957146106,2021,Changan
000625,0.12303144451940777,0.06387216017029765,0.830222957667018,2.3201164338117977,2022,Changan
000625,0.12722930738612673,0.0628026640426297,0.7955871583858477,2.546368961227267,2023,Changan
000625,0.07718928013130598,0.03821485366452554,0.7673269220228313,2.632354369540967,2024,Changan
002594,0.09330640784069089,0.038403905968192084,0.7790258581746794,3.1187761109054173,2020,BYD
002594,0.038057423410445754,0.018354872027766696,0.7307535586558486,2.83737724941632,2021,BYD
002594,0.14591916784598696,0.04177021524292157,0.8586645614196196,4.068385444821052,2022,BYD
002594,0.20831868817367996,0.052039300993811294,0.8863474640417794,4.5164038737113845,2023,BYD
002594,0.20931257173897017,0.05351667561003909,0.9920171656851917,3.942638865902707,2024,BYD
601633,0.09351791789489738,0.05190798953880419,0.6707785684406207,2.6858480694421023,2020,Great Wall
601633,0.108243662452512,0.04930194003736876,0.7776421088469665,2.823310867404783,2021,Great Wall
601633,0.12654592794996053,0.06009034876672978,0.7409472669122829,2.84220991211781,2022,Great Wall
601633,0.10250966838892593,0.040544590512375224,0.8605943678445498,2.937875655933916,2023,Great Wall
601633,0.160671458869508,0.06277311347738064,0.9306346327021534,2.750336655248519,2024,Great Wall
